QuestionID,カテゴリ番号,属性ペア,うわさの内容,interest_データ数,interest_平均値,interest_SD,AOI_データ数,AOI_平均値,AOI_SD,privacy_データ数,privacy_平均値,privacy_SD,polarity_データ数,polarity_平均値,polarity_SD
1.0,3,M3-F3,Aさんは新しいレストランに行っていない,11,2.4545454545454546,1.2135597524338357,12,4.083333333333333,1.378954368902449,11,3.727272727272727,1.6787441193290353,11,3.272727272727273,0.7862453931068966
1.0,3,M4-F4,Aさんは新しいレストランに行っていない,12,2.3333333333333335,1.3706888336846839,12,2.5,1.1677484162422844,12,3.1666666666666665,1.7494587907710375,12,3.25,0.9653072991634227
1.0,4,M1-F1,Aさんは落ち込んでいる,12,4.666666666666667,1.556997888323046,12,1.6666666666666667,0.7784989441615229,12,5.416666666666667,1.6213537179739277,12,1.5833333333333333,0.5149286505444373
1.0,4,M2-F2,Aさんは落ち込んでいる,12,3.9166666666666665,1.6213537179739277,12,1.8333333333333333,0.7177405625652734,12,4.666666666666667,1.9227505550564006,12,1.6666666666666667,0.778498944161523
1.0,4,M3-F3,Aさんは落ち込んでいる,12,4.833333333333333,1.2673044646258476,12,2.0833333333333335,0.9962049198956219,12,5.583333333333333,0.9003366373785199,12,1.75,0.45226701686664544
1.0,4,M4-F4,Aさんは落ち込んでいる,12,4.333333333333333,1.775250729197189,12,2.1666666666666665,1.0298573010888745,12,5.583333333333333,0.6685579234215216,12,1.5,0.674199862463242
1.0,5,M1-F1,Aさんは映画グッズを収集している,12,5.416666666666667,1.3113721705515065,12,3.3333333333333335,1.7232808737106582,12,3.4166666666666665,2.0207259421636903,12,5.666666666666667,0.8876253645985945
1.0,5,M2-F2,Aさんは映画グッズを収集している,12,3.4166666666666665,1.8809249819912512,12,2.9166666666666665,0.90033663737852,12,3.6666666666666665,2.229281716090851,12,5.25,0.9653072991634227
1.0,5,M3-F3,Aさんは映画グッズを収集している,12,4.833333333333333,1.5275252316519468,12,3.75,1.1381803659589922,12,3.0833333333333335,1.5050420310248862,12,5.583333333333333,0.9003366373785199
1.0,5,M4-F4,Aさんは映画グッズを収集している,12,4.0,1.7056057308448835,12,3.5,1.0,12,3.9166666666666665,2.108783937953269,12,5.583333333333333,0.9003366373785199
1.0,6,M1-F1,Aさんは映画を見ると心が落ち着く,12,4.666666666666667,1.3706888336846839,12,2.6666666666666665,1.0730867399773196,12,3.0833333333333335,2.0207259421636903,12,6.25,0.9653072991634227
1.0,6,M2-F2,Aさんは映画を見ると心が落ち着く,12,3.9166666666666665,2.3143164446679725,12,2.0833333333333335,1.164500152881315,12,2.8333333333333335,1.6422453217986939,12,6.0,1.1281521496355325
1.0,6,M3-F3,Aさんは映画を見ると心が落ち着く,12,4.083333333333333,1.378954368902449,12,3.0833333333333335,1.1645001528813148,12,2.6666666666666665,1.6143297699232972,12,5.416666666666667,0.7929614610987591
1.0,6,M4-F4,Aさんは映画を見ると心が落ち着く,12,3.5833333333333335,1.4433756729740645,12,2.6666666666666665,0.7784989441615231,12,3.0,1.954016841836789,12,6.0,0.6030226891555273
1.0,7,M1-F1,Aさんはテストはいつも赤点だ,12,3.8333333333333335,1.6422453217986943,12,5.083333333333333,0.7929614610987591,12,6.5,0.7977240352174656,12,1.4166666666666667,0.5149286505444373
1.0,7,M2-F2,Aさんはテストはいつも赤点だ,12,3.9166666666666665,1.9286515936521476,12,3.9166666666666665,1.4433756729740643,12,5.083333333333333,2.2343733444579583,12,1.75,0.7537783614444091
